 Output    88 cells
 ================================================
 lev      x           d          u          P        rho       f
  5  1.56250E-02  1.000E+00  0.000E+00  1.000E+00  3.300E+01  0.000E+00
  5  4.68750E-02  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  7.81250E-02  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  1.09375E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  1.40625E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  1.64062E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  1.79688E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  1.95312E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  2.10938E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  2.26562E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  2.38281E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  2.46094E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  2.53906E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  2.61719E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  2.69531E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  2.77344E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  2.85156E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  2.92969E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.00781E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.08594E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.16406E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.24219E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.32031E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.39844E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.47656E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.55469E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.63281E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.71094E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.78906E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.86719E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  3.94531E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.02344E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.10156E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.17969E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.25781E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.33594E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.41406E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.49219E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.57031E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.64844E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.72656E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.80469E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.88281E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  4.96094E-01  6.500E+01  0.000E+00  1.000E+00  6.500E+01  0.000E+00
  7  5.03906E-01  6.500E+01  0.000E+00  1.000E+00  6.500E+01  0.000E+00
  7  5.11719E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  5.19531E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  5.27344E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  5.35156E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  5.42969E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  5.50781E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  5.58594E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  5.66406E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  5.74219E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  5.82031E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  5.89844E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  5.97656E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.05469E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.13281E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.21094E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.28906E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.36719E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.44531E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.52344E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.60156E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.67969E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.75781E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.83594E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.91406E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.99219E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.07031E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.14844E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.22656E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.30469E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.38281E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.46094E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.53906E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.61719E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  7.73438E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  7.89062E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  8.04688E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  8.20312E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  8.35938E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  8.59375E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  8.90625E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  9.21875E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  9.53125E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  9.84375E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
