lev      x           d          u          P
  4  3.12500E-02  1.000E+00  1.000E+00  1.000E+00
  4  9.37500E-02  1.000E+00  1.000E+00  1.000E+00
  5  1.40625E-01  1.000E+00  1.000E+00  1.000E+00
  5  1.71875E-01  1.000E+00  1.000E+00  1.000E+00
  5  2.03125E-01  1.000E+00  1.000E+00  1.000E+00
  5  2.34375E-01  1.000E+00  1.000E+00  1.000E+00
  5  2.65625E-01  1.000E+00  1.000E+00  1.000E+00
  5  2.96875E-01  1.000E+00  1.000E+00  1.000E+00
  6  3.20312E-01  1.000E+00  1.000E+00  1.000E+00
  6  3.35938E-01  1.000E+00  1.000E+00  1.000E+00
  6  3.51562E-01  1.000E+00  1.000E+00  1.000E+00
  6  3.67188E-01  1.000E+00  1.000E+00  1.000E+00
  7  3.78906E-01  1.000E+00  1.000E+00  1.000E+00
  7  3.86719E-01  1.000E+00  1.000E+00  1.000E+00
  7  3.94531E-01  1.000E+00  1.000E+00  1.000E+00
  7  4.02344E-01  1.000E+00  1.000E+00  1.000E+00
  7  4.10156E-01  1.000E+00  1.000E+00  1.000E+00
  7  4.17969E-01  1.000E+00  1.000E+00  1.000E+00
  8  4.23828E-01  1.000E+00  1.000E+00  1.000E+00
  8  4.27734E-01  1.000E+00  1.000E+00  1.000E+00
  8  4.31641E-01  1.000E+00  1.000E+00  1.000E+00
  8  4.35547E-01  1.000E+00  1.000E+00  1.000E+00
  9  4.38477E-01  1.000E+00  1.000E+00  1.000E+00
  9  4.40430E-01  1.001E+00  1.000E+00  1.000E+00
  9  4.42383E-01  1.003E+00  1.000E+00  1.000E+00
  9  4.44336E-01  1.012E+00  1.000E+00  1.000E+00
  9  4.46289E-01  1.038E+00  1.000E+00  1.000E+00
 10  4.47754E-01  1.070E+00  1.000E+00  1.000E+00
 10  4.48730E-01  1.091E+00  1.000E+00  1.000E+00
 10  4.49707E-01  1.116E+00  1.000E+00  1.000E+00
 10  4.50684E-01  1.144E+00  1.000E+00  1.000E+00
 10  4.51660E-01  1.176E+00  1.000E+00  1.000E+00
 10  4.52637E-01  1.211E+00  1.000E+00  1.000E+00
 10  4.53613E-01  1.249E+00  1.000E+00  1.000E+00
 10  4.54590E-01  1.291E+00  1.000E+00  1.000E+00
 10  4.55566E-01  1.337E+00  1.000E+00  1.000E+00
 10  4.56543E-01  1.387E+00  1.000E+00  1.000E+00
 10  4.57520E-01  1.439E+00  1.000E+00  1.000E+00
 10  4.58496E-01  1.494E+00  1.000E+00  1.000E+00
 10  4.59473E-01  1.552E+00  1.000E+00  1.000E+00
 10  4.60449E-01  1.610E+00  1.000E+00  1.000E+00
 10  4.61426E-01  1.670E+00  1.000E+00  1.000E+00
 10  4.62402E-01  1.728E+00  1.000E+00  1.000E+00
 10  4.63379E-01  1.785E+00  1.000E+00  1.000E+00
 10  4.64355E-01  1.839E+00  1.000E+00  1.000E+00
 10  4.65332E-01  1.888E+00  1.000E+00  1.000E+00
 10  4.66309E-01  1.929E+00  1.000E+00  1.000E+00
 10  4.67285E-01  1.964E+00  1.000E+00  1.000E+00
 10  4.68262E-01  1.976E+00  1.000E+00  1.000E+00
